AsOfDate,Io_Bonds,Europa_Bonds,Callisto_Bonds,Ganymede_Bonds,Io_Stocks,Europa_Stocks,Callisto_Stocks,Ganymede_Stocks,Europa_Io_FX,Callisto_Io_FX,Ganymede_Io_FX,Oil,Copper,Gold
1990-12-06,,,,,,,,,,,,,,
1990-12-07,,,,,,,,,,,,,,
1990-12-10,,,,,,,,,,,,,,
1990-12-11,,,,,,,,,,,,,,
1990-12-12,,,,,,,,,,,,,,
1990-12-13,,,,,,,,,,,,,,
1990-12-14,,,,,,,,,,,,,,
1990-12-17,,,,,,,,,,,,,,
1990-12-18,,,,,,,,,,,,,,
1990-12-19,,,,,,,,,,,,,,
1990-12-20,,,,,,,,,,,,,,
1990-12-21,,,,,,,,,,,,,,
1990-12-26,,,,,,,,,,,,,,
1990-12-27,,,,,,,,,,,,,,
1990-12-28,,,,,,,,,,,,,,
1990-12-31,,,,,,,,,,,,,,
1991-01-02,,,,,,,,,,,,,,
1991-01-03,,,,,,,,,,,,,,
1991-01-04,,,,,,,,,,,,,,
1991-01-07,,,,,,,,,,,,,,
1991-01-08,,,,,,,,,,,,,,
1991-01-09,,,,,,,,,,,,,,
1991-01-10,,,,,,,,,,,,,,
1991-01-11,,,,,,,,,,,,,,
1991-01-14,,,,,,,,,,,,,,
1991-01-15,,,,,,,,,,,,,,
1991-01-16,,,,,,,,,,,,,,
1991-01-17,,,,,,,,,,,,,,
1991-01-18,,,,,,,,,,,,,,
1991-01-21,,,,,,,,,,,,,,
1991-01-22,,,,,,,,,,,,,,
1991-01-23,,,,,,,,,,,,,,
1991-01-24,,,,,,,,,,,,,,
1991-01-25,,,,,,,,,,,,,,
1991-01-28,,,,,,,,,,,,,,
1991-01-29,,,,,,,,,,,,,,
1991-01-30,,,,,,,,,,,,,,
1991-01-31,,,,,,,,,,,,,,
1991-02-01,,,,,,,,,,,,,,
1991-02-04,,,,,,,,,,,,,,
1991-02-05,,,,,,,,,,,,,,
1991-02-06,,,,,,,,,,,,,,
1991-02-07,,,,,,,,,,,,,,
1991-02-08,,,,,,,,,,,,,,
1991-02-11,,,,,,,,,,,,,,
1991-02-12,,,,,,,,,,,,,,
1991-02-13,,,,,,,,,,,,,,
1991-02-14,,,,,,,,,,,,,,
1991-02-15,,,,,,,,,,,,,,
1991-02-18,,,,,,,,,,,,,,
1991-02-19,,,,,,,,,,,,,,
1991-02-20,,,,,,,,,,,,,,
1991-02-21,,,,,,,,,,,,,,
1991-02-22,,,,,,,,,,,,,,
1991-02-25,,,,,,,,,,,,,,
1991-02-26,,,,,,,,,,,,,,
1991-02-27,,,,,,,,,,,,,,
1991-02-28,,,,,,,,,,,,,,
1991-03-01,-5.372199911988091e-07,-3.884421758907276e-06,-5.5122289856544066e-06,-0.005731943548135041,-0.0057339716689143545,-0.005742269838555259,-0.01223565212249659,-0.012236018594933154,0.018829604890609985,0.018829895117184085,0.0188286321288719,0.0016440036146112816,0.002629880889303136,-0.005782910241499105
1991-03-04,0.007609287678992821,0.007607509057317185,0.007605647690257761,0.0018759251492803345,-0.0038496220642569756,-0.005575730854239958,-0.017809363388797607,-0.021393313474569603,-0.0017754663609262182,0.017054394916572145,0.02379916321698899,0.001428910526912926,0.004063199327167559,-0.005477216701939176
1991-03-05,0.007608380809601054,0.003739571646744974,0.011341876063084457,0.004518083273025675,0.0006669436587366688,-0.0049087642536162004,-0.0227153533125234,-0.021768564894814872,2.5688378079806522e-05,0.01708009270399993,0.024630884844536963,0.0015813963441145995,0.005645389999105537,-0.004910627951539987
1991-03-06,0.007606486563237438,0.005385116156294362,0.016715213741872383,-0.00030999999948318533,0.0003524089823467373,-0.004556638914447873,-0.02550028561193448,-0.021472376285638025,-0.0004077634661123287,0.016672361553358276,0.02457920483411931,0.0013936637431979574,0.007039937017102067,-0.0041058730710954745
1991-03-07,0.007606321527733343,0.004269344508996576,0.020983067930343033,-0.0002511764641673867,0.00010071119966765451,-0.0044559761557181835,-0.024922838748259058,-0.021504769164508337,-0.00018484792275987445,0.016487517416100467,0.024649827271776018,0.0012986403178812632,0.008338640340666148,-0.0029763997858779302
1991-03-08,0.0076039656399737145,0.003936136234452766,0.024880558580464802,-2.6290117428444787e-05,6.53707930896794e-05,-0.004391604047448146,-0.024480628658593725,-0.0215732960718526,-0.00012362946630939972,0.016363954255965266,0.02476152144532867,0.001204905995077414,0.009544165491615415,-0.001567335740879162
1991-03-11,0.007601005997106743,0.0038427465350818297,0.02862863050554824,7.599972301190042e-06,5.8945852543054726e-05,-0.004334376276377503,-0.023991333657524115,-0.021658087501735566,-0.00013820175050411297,0.016225847377273513,0.024848467276140276,0.0011227805733463449,0.010667395505993436,-0.00017359983841178398
1991-03-12,0.0076007853282494585,0.0037806782063677592,0.03238703139642634,-1.8570745437136748e-05,3.908436943053107e-05,-0.004295467004568219,-0.023473791107520056,-0.021737390030074303,-0.000162680869831522,0.016063174543588042,0.024871178006333337,0.0010439411801328625,0.011711344186732607,0.0013081431321717682
1991-03-13,0.007599994179872189,0.005286546276375834,0.035638925879236,5.935952572622576e-06,3.908475023713517e-05,-0.0042572299978905085,-0.02294918191843755,-0.0218244567657706,-0.0001546600828860472,0.015908545349930785,0.024964229383029144,0.0009860112208655851,0.012697278953661755,0.0027909390110052944
1991-03-14,0.007599334041476804,0.010624270086476512,0.0377997507985386,-1.301322430663205e-05,2.000500592586981e-05,-0.004238165815724467,-0.022487324596512478,-0.02191815906176962,-0.00015109810152370674,0.015757481925201766,0.025066729670729697,0.0009455722216716721,0.01364273886020933,0.004371324419529268
1991-03-15,0.007598244476504769,0.016363676081235658,0.03972603325657146,8.196324138314675e-06,1.5526694156696364e-05,-0.004224707500331675,-0.021869212127389643,-0.022029078633427103,-0.00014885859206597012,0.015608693372070439,0.025200712038847516,0.0009108028703455048,0.014553246775617704,0.005986037919928187
1991-03-18,0.007597234122351196,0.02181194435443822,0.041673551630710806,-2.4306446899120617e-06,-1.5465944304500117e-06,-0.004228791461498908,-0.0212652373091121,-0.022112008334316403,-0.00023044008291548746,0.015378330552054389,0.025310398284705403,0.0008712318830299697,0.015424080960302325,0.007391998320111968
1991-03-19,0.007596044781067853,0.027345978890161337,0.04338777131160518,1.2341478384047215e-05,-1.2625492814919971e-05,-0.004245290508523136,-0.020654372006620052,-0.022208624092976744,-0.00029369327247128065,0.015084742139662075,0.02543697033942789,0.0008278097203664044,0.01625124239214559,0.008711957251207185
1991-03-20,0.0075949067479676785,0.03241053260572055,0.04492409161265249,2.1088949084955583e-05,-2.037060363741375e-05,-0.004270240147706671,-0.020166668310653658,-0.022276624451393803,-0.00038077008474493736,0.014704091315965768,0.025548274733289644,0.0007969315595841217,0.017047350562537908,0.009799440082267253
1991-03-21,0.007593210691884256,0.03775334398132156,0.046849595516196586,5.913386308774913e-05,-1.5625540484162292e-05,-0.004294592458588831,-0.019759170501182484,-0.022350177443100652,-0.00040354170382702833,0.01430076234106755,0.02561406570817629,0.00077655585149305,0.01782229038726679,0.011150153390236017
1991-03-22,0.007590588089814212,0.04331316387202182,0.04854057343058805,0.00010983921471770742,-1.7363980189861185e-05,-0.00432677857336648,-0.01926378980652412,-0.022428662749598906,-0.0003940843886474563,0.013907065708276649,0.025700092732885912,0.000762587988659491,0.018581627836924925,0.012477840797871622
1991-03-25,0.0075896843610691765,0.04936298010427657,0.05019715312037113,8.009542976037851e-05,-1.9755939529846517e-05,-0.004352147343069373,-0.01891340022125008,-0.022495358061116966,-0.00040331175232395314,0.013503915581690926,0.02578633209451012,0.0007410117118681358,0.019321200621640867,0.013912789742114273
1991-03-26,0.007588115976423613,0.05531918812512833,0.051853243443778056,0.0003157944749320405,-3.034581513145533e-05,-0.004395073818108337,-0.018649378250282362,-0.022567353645690968,-0.0005189546642178261,0.012985286613047615,0.02584903888475872,0.0007177669672307908,0.020035665180695432,0.015298062503862654
1991-03-27,0.007586573847195877,0.06170385969240097,0.053726369038634286,0.0009313555489160409,-2.4407652490096677e-05,-0.004434775336002362,-0.018323229602407624,-0.02264749807564895,-0.0005353058354250399,0.012450355467116234,0.025938862839965406,0.0007128963432694226,0.020744295927691427,0.01679866183080896
1991-03-28,0.007585741622491024,0.06865387881704337,0.05549364130782878,0.0018061778950558187,-3.504360616563819e-05,-0.004479355591551795,-0.017873242043472733,-0.02275692118582134,-0.0005863241377712015,0.011864271409475671,0.026073666190851878,0.0007142728866639156,0.021455409199490454,0.01837826104731827
1991-03-29,0.007584894796470818,0.07613506814524867,0.05755179428212225,0.0028056104461672286,-3.3055283209309704e-05,-0.0045216386629547385,-0.017402511452880423,-0.02285879827585515,-0.000567614177393354,0.011296934212602082,0.026123135955984412,0.0007283548380347218,0.022178532420652187,0.020227929016044276
1991-04-01,0.007584213967409045,0.08365879680461404,0.059427995806467376,0.0038339263691232073,-3.9068521128521974e-05,-0.004568011774117306,-0.016950975610350243,-0.022970374782482067,-0.0005832223359233231,0.010713968188184044,0.026125987644127893,0.0007423861140960986,0.022912272459829616,0.021958939925569604
1991-04-02,0.007583206321690033,0.09117843358293529,0.061236851422564555,0.00456248722783705,-2.5867344196541567e-05,-0.004604724243643564,-0.016434422386851943,-0.02305499769058573,-0.0005087870943557242,0.010205615417737113,0.026202916151769645,0.0007534266417990132,0.023544130009614878,0.02373929747178353
1991-04-03,0.007582909253672609,0.09874808040960861,0.0629406200850157,0.005476794645292818,-1.5759023824957008e-05,-0.00462406741183819,-0.015802236596451434,-0.023157952332211577,-0.00040788807388371416,0.009797873181100128,0.02633027150356553,0.0007997368079100889,0.02378586793754434,0.025535417140999526
1991-04-04,0.007582796564155609,0.10632733090183115,0.06462816202757388,0.006464179764049948,-5.778188512545696e-06,-0.004630884832267953,-0.015080452294123142,-0.023271853904677873,-0.00038869125520643865,0.009409242727680164,0.02648180794844051,0.0008590297748842881,0.023918528425516655,0.02736465794784586
1991-04-05,0.007582394694868256,0.11389781397952503,0.0659271490625273,0.007247226426979902,1.6925600531261046e-05,-0.004628638351348605,-0.014393579441167625,-0.02336822950354239,-0.00032114108679736654,0.00908836328629599,0.026685527477335658,0.0009118554255799564,0.024037652156553707,0.029190326373233454
1991-04-08,0.0075818793456918394,0.1214661551082171,0.06731424978181241,0.008175945281650632,1.884844691565939e-05,-0.004631826131952729,-0.01366425586164603,-0.023470270334879074,-0.0003477117278276836,0.00874105280706994,0.026874314979495835,0.0009703188289376977,0.02412960054564435,0.030932159766450276
1991-04-09,0.007581211457256208,0.12902553315016776,0.06847029604614815,0.009023594916323372,3.646068394735663e-05,-0.004634169444757591,-0.01307752948188277,-0.023585339107141227,-0.00036314302432936346,0.008378460584857453,0.027031560004136545,0.0010274729808696947,0.024197958403436446,0.032594752498833084
1991-04-10,0.007580494533671766,0.13657410924941402,0.06977986025632174,0.009578729133344429,4.0913816101033024e-05,-0.0046322897706746,-0.012453462584693684,-0.023687633978848596,-0.00033063907136062366,0.008048434207474219,0.027220791399549613,0.0010771528879633776,0.024240919735654703,0.03424506434682975
1991-04-11,0.007579144090959846,0.14401058787407234,0.07112551743958279,0.01036036682992552,5.226024485301048e-05,-0.004641745980187411,-0.011873656004094589,-0.02378386921901576,-0.0003707280221885086,0.007678842962212766,0.02734701567495739,0.001136206553525247,0.024312251272659652,0.035915171107279535
1991-04-12,0.007577616873459819,0.14834260548883568,0.0723660945086648,0.011171852215816387,8.476126226536326e-05,-0.004644077149404043,-0.011318241593100317,-0.023897518122516573,-0.00033860094916532765,0.007341617612036388,0.027515069197046882,0.00118073150421037,0.024439698166675853,0.03735101832471304
1991-04-15,0.007576645557303044,0.14989203401760073,0.07419362082027008,0.012083513389278587,0.00011150621805774436,-0.004634372303806476,-0.010705672030694894,-0.02396062889272067,-0.00037371583941811227,0.006968788684346604,0.02772582956699814,0.0012287498778907433,0.024469956622744597,0.03900387374237537
1991-04-16,0.007576254185924217,0.150647971418318,0.0759444714284503,0.012867658063293645,0.00022310618500151515,-0.004628413366172893,-0.009978207716115706,-0.024014679060012097,-0.00031223906502541443,0.006656994324294445,0.02799330819572447,0.0012839158208295684,0.0244104427724406,0.0405964832995176
1991-04-17,0.007575149815777904,0.15043298460769283,0.07732791151739385,0.01385298657921439,0.0004898818851833633,-0.004632340308922514,-0.009354927311120106,-0.02412732429957423,-0.0002983933993557449,0.006360197890532516,0.028255151890268376,0.0013442500913818283,0.024380498782520132,0.04181586412676445
1991-04-18,0.007574669751924967,0.15033954672607694,0.07858518584519411,0.014669571357747753,0.0006790368263573612,-0.004617934476801207,-0.008583257671572931,-0.02423343068687228,-0.00027519994461165876,0.006085740494910102,0.028517173945207645,0.0013998879458405804,0.02444671198943091,0.04312683419161519
1991-04-19,0.007574453606985371,0.14992324097924045,0.07959859928760843,0.015417981681634349,0.0008904393865109401,-0.004618521618446675,-0.007960006831043578,-0.024403157541309634,-0.00034840542490813383,0.005737678992333794,0.028743847513263605,0.001442401103750219,0.024598429166300558,0.044147986729398785
1991-04-22,0.0075743520344018125,0.14940216577684987,0.08064594179867318,0.015964985057746885,0.0010517940664861029,-0.004629765589878606,-0.007392234079252572,-0.02456074839263393,-0.00043891149475418814,0.005298912752664646,0.028928879899912864,0.001483026079442904,0.024720390401169624,0.04504806134222188
1991-04-23,0.007574302459665653,0.14901065326658938,0.08197122621950788,0.016681867713040338,0.0011737148680027155,-0.004649363925402048,-0.00694492709340618,-0.02461736652924031,-0.0005465348957370789,0.004752435148881919,0.02908164086732752,0.0015302533678662113,0.024725462623426484,0.04615279555058292
1991-04-24,0.007574262846223944,0.14897106671258942,0.08316040367875298,0.01769556333217418,0.0012483673900090368,-0.004659015842267222,-0.006434969168063119,-0.02466018532512571,-0.0005141879889092724,0.004238296510534576,0.029263527930696052,0.0015752694890130879,0.024655824577581607,0.04727479891297873
1991-04-25,0.0075742311615926575,0.14863900042643147,0.08459731313654559,0.018364394704646847,0.0013262135006187488,-0.004671325076868834,-0.0060321801602785125,-0.024686613131276226,-0.0005639884148064204,0.003674351052047793,0.029428034478141685,0.0016132894489804016,0.024552798589275327,0.04847407163594653
1991-04-26,0.007574198333283355,0.14851721839784499,0.08609415315755209,0.01889102304223171,0.0014078457003904592,-0.00468388325454315,-0.005630063267981394,-0.02473084521185496,-0.0006258772863264075,0.003048522597770117,0.0295632609224607,0.0016609821502603873,0.024374705498186978,0.04964550900447471
1991-04-29,0.007574146538596457,0.14879309088079862,0.08764011899496553,0.019393557150148982,0.0014998868535609174,-0.0046907512450556355,-0.005240768164341932,-0.024772780927229798,-0.0006363262944349244,0.002412282363890196,0.02969114856215911,0.001712962362632433,0.024136748158474903,0.05091500870206393
1991-04-30,0.007573944920988123,0.1486703557763627,0.08867257103051404,0.01990635609367711,0.0015710764989721093,-0.004701061858178308,-0.004753258431409591,-0.024850701533455186,-0.0006232377204405457,0.0017896263409376584,0.02986243397639265,0.0017581903666348169,0.023994115602830476,0.051812818328560675
1991-05-01,0.007573348853053494,0.1484344565949328,0.08939925731284792,0.020303639365440163,0.0016677188245237267,-0.004718897826686716,-0.004365735278736509,-0.02495862237017982,-0.0005260773241640385,0.0012659005325933177,0.030001016045745392,0.001789218975181713,0.023756363218496612,0.052512873094458005
1991-05-02,0.007572299944999643,0.148250375616384,0.09008858258217471,0.02071546214501793,0.001809595598368722,-0.004737784233549477,-0.0038920290841188373,-0.02507321946158174,-0.0005093332952798485,0.0007613069642402385,0.030053839744471587,0.0018342964388075571,0.023509734824807695,0.05327038370354614
1991-05-03,0.007571979121595727,0.14839854808112055,0.09062865137165432,0.021217294064248785,0.0019209157353463455,-0.004745869109890625,-0.003401709557087814,-0.0251571263995911,-0.0005455667104903082,0.00021707262930988812,0.030186235694932263,0.001880672676857684,0.02335160224726918,0.053964397102718394
1991-05-06,0.007570961017726581,0.14803821326034977,0.09115991321933913,0.02175818048180067,0.002101862002297415,-0.004768046983093265,-0.003019708827006745,-0.025304906398044863,-0.00039677373245334093,-0.00017364613925919354,0.029900244242362994,0.0019370175751297037,0.0229403996621666,0.05450490457184404
1991-05-07,0.007570565619088305,0.14793152954434588,0.09174205157922483,0.022061724226392784,0.0022484693196877306,-0.004786871399728533,-0.002597599362783404,-0.025457488691271523,-0.00024315177781391445,-0.00041419473621871387,0.029468479425941635,0.00199244078055022,0.022415869958648305,0.05499938159142417
1991-05-08,0.007570294276592173,0.14756844692694115,0.09235153407763247,0.02237913462107477,0.0023843713110907865,-0.00480194075492312,-0.002060836633022229,-0.025618446637383854,-0.00011237730553972568,-0.0005246616895173543,0.028938170702390017,0.002044918930375042,0.02194716957669716,0.05557128256168611
1991-05-09,0.007569673675616743,0.1473451934283915,0.09280690987998566,0.022661401608108207,0.0025342157489716345,-0.004827988028382603,-0.0016973571250003786,-0.025797723435723705,-9.662351740772836e-05,-0.0006155290603101687,0.02831293916688146,0.002093612534592319,0.021547584769472557,0.05597124924701929
1991-05-10,0.007569562338036882,0.14712496374632925,0.09328852712075324,0.022785647491466846,0.002712575923022064,-0.004856815004490485,-0.001223990355043091,-0.026015153666665035,-7.22548902638266e-05,-0.0006868744242828164,0.02762513577856637,0.002144372650542244,0.02110023193610485,0.0564379937938015
1991-05-13,0.0075691141573038835,0.1472212388415666,0.09378379437323328,0.02285639078631322,0.00279975346997074,-0.004878449501673237,-0.0008645167966757974,-0.026189418287511777,-4.933068452962359e-05,-0.0007315816960349481,0.026890358436839283,0.0021836624055551414,0.02061639894879581,0.05678370918133426
