AsOfDate,Io_Bonds,Europa_Bonds,Callisto_Bonds,Ganymede_Bonds,Io_Stocks,Europa_Stocks,Callisto_Stocks,Ganymede_Stocks,Europa_Io_FX,Callisto_Io_FX,Ganymede_Io_FX,Oil,Copper,Gold
1990-06-25,146.81800129803247,169.08968653514856,138.55751009000048,236.93744388421575,52.366230298699364,-25.46740633744898,93.5562429909795,75.04207615500958,-233.00242483889798,173.48671821757756,147.17792286339645,-35.34503994567329,50.38080323234632,-199.33048194873842
1990-06-26,145.4745844624302,170.38112403805326,139.73937482410952,239.19365161247364,52.11315336857152,-25.567307838697054,93.6933535864181,74.5942784759778,-240.11957783731526,176.95561235334023,147.40884942408454,-36.14889736391349,50.06498595056389,-200.2804346159242
1990-06-27,145.58517735690967,171.4293344296659,139.52764139148383,239.20315695972764,52.4032825757557,-25.55630498170978,94.41561676155399,74.13889522498236,236.46651160316168,175.1726548326059,147.26837862801727,-36.03533834075628,50.07433971136001,-199.67180895539684
1990-06-28,145.38288833501568,177.30560345534494,139.16702811762877,239.30360280760317,52.96582444826202,26.01701336391765,93.7445187021282,74.04846160753516,236.49133865261476,175.651590066166,147.25919944521624,-35.84340613376477,50.01552966248994,-199.83844361047258
1990-06-29,145.59457790415107,178.29290070649677,139.79288392754884,241.73944649801655,52.794435496129225,26.088257350468375,94.48392203300268,74.0428843196866,236.24334852093568,175.45196875365082,145.8369634572767,-35.556251739606594,48.521854857483476,-200.96607962969634
1990-07-02,149.82161309555457,179.50079734842296,139.74026807907495,-240.693121523989,52.83154301566876,-26.33548222070659,94.99734284017369,73.6840426940697,234.29486094087648,173.88938547695136,145.49593799146282,-35.7518052816113,48.58466383712421,-199.7995235737407
1990-07-03,151.2493212851208,185.56320074957674,139.56825242339931,-240.67480724333598,53.123781751574384,26.134563431312543,96.03361894502385,73.35264845416901,233.56913745839373,167.8612207260001,144.52276828630966,-35.72175326958344,48.60507995399262,-200.01147439187423
1990-07-04,151.56178807969576,187.28006643084524,139.36296168886648,242.03663473473057,53.238885632532835,26.244761401316957,96.01058410642473,73.4267082243184,233.79905302827402,167.55495830082833,144.5266778695766,-35.710921674014735,49.36747870964044,-198.62546027478842
1990-07-05,151.58468886632915,187.05950278782964,139.35444910857677,241.4295121096343,53.24941647794366,26.149594324926582,96.24899953031338,73.38680015275783,234.03440675758335,168.15248083151388,144.53362902331202,-35.77656554017603,49.46299507531862,-198.91984451242763
1990-07-06,152.87776616545463,187.14521760290035,138.6788836768285,241.21615597608644,52.9203106846836,26.230290727276678,95.66402473358859,73.5274322365719,238.69548863452223,168.58618982570073,144.6800719412247,-35.95463382005066,49.08949002730815,-200.61596303194605
1990-07-09,150.89762725462737,187.5350307843489,139.1868421574299,242.9456750981647,52.947672123327294,26.789429587595176,95.47498127518664,73.49544152979196,242.35692555113968,169.2667087282171,144.5268716421002,-36.00424876301478,49.63774521094384,-202.4064972689552
1990-07-10,150.3975560638269,197.18478758819694,139.80126183277216,243.52742585946686,52.93236883176219,26.998453845318302,97.75645111542043,73.64972651371612,242.35692555113968,163.16186535355348,144.41673022840374,-35.98494657947873,49.610005429169284,-201.8579261013646
1990-07-11,158.80354899567843,197.21906070420985,138.89104760655985,245.28538949614065,53.31935932412588,27.78261934555175,97.6481982236923,73.55424732632831,241.0669343777622,163.52725798681325,138.40820400101484,-35.69249657288801,49.722241387205564,-200.89777872000792
1990-07-12,158.6132858942294,209.06975693793302,139.23410234387734,247.14957755894105,52.49240190434132,27.879390279544474,96.66534925092569,75.15884426793247,239.9750810431603,158.61389157857639,138.51860277022243,-35.57684201268551,48.25263736872176,-200.8426514491696
1990-07-13,159.11188019935886,209.24104807211867,139.3152326421234,251.00127573263822,52.264322920398826,27.94968036321407,96.55362065436314,75.18475365409914,238.3135477991208,157.609051718347,139.6175332326203,-34.34211529056338,48.134063948336404,-201.2242563936768
1990-07-16,158.55987040074243,207.9879223938804,138.32544066040796,256.43145418177454,52.25887083980906,28.278743710719546,97.26356329916963,77.02053799974423,236.06201339526814,157.14114308435052,139.60424401102634,-34.47687804189446,48.15091671624946,-191.77400607867273
1990-07-17,159.96255177418755,205.5617128874076,137.62233765802796,257.06397691240596,52.91972343785239,-28.3668783211112,96.47837761005039,79.42293837852105,-239.60238886626084,162.09684909311028,141.95900538514962,-34.50508693950887,47.99043772561667,-197.26720355081306
1990-07-18,160.7853849244555,205.82826141575651,136.8474899605094,-256.3641175634692,52.86395871616592,28.735120623975348,96.46533980081706,80.60922969068258,237.35125329544368,159.656671239508,141.86489706537404,-34.55046083094768,47.971744327047965,-197.38905317276135
1990-07-19,162.10166254856512,205.35780169496326,139.8227343265863,-256.49527553067645,52.655544653403346,28.130904362381674,96.42550563358354,80.59286001153555,-241.00563810396537,160.46799950353275,141.9241841630693,-34.52901274045121,48.02003530784007,-197.9120623389543
1990-07-20,163.51796927285088,209.92562393734002,141.0456698347062,-256.23887403861437,52.62007868334199,28.334577450980703,96.93038846702419,80.73555194457634,-244.59522888471136,163.95303408481007,142.63515867995088,-34.57997870329722,47.9107538952057,-197.93994253506028
1990-07-23,163.5991765694326,212.33700529026424,141.10379951647013,-255.95311168311463,52.37787760277149,28.69752614946553,97.16078133607667,80.3672912153936,-244.99157394186568,165.68113593842142,141.94551404327606,-34.63143613774065,48.51249660568412,-198.5250829221351
1990-07-24,167.06111929677198,212.2502456251889,141.62841334059678,-253.41006022586436,-51.07254991354097,28.758194467312645,94.51248275113747,-80.05463842617603,243.1921729871588,164.69217286768838,143.07146845833313,-34.39418726850142,48.88766702340618,-194.0255579764733
1990-07-25,167.18605992875501,212.58353003297017,141.45590788684257,-254.02871494823043,-51.74197299436638,28.680595183067748,94.87380407747159,-79.99569729714733,244.22430013757509,163.69501965592923,143.72415324567504,-34.454573114267816,48.82622707120938,-193.74212393638248
1990-07-26,166.4334100774179,212.23788698462306,140.87992618593657,-256.68597965130857,-51.802980696355654,28.92071312949042,94.89982705769361,-80.43130618838357,243.340084080183,163.2283410448784,142.80841030022626,-34.522642617093034,48.71061818164167,-194.69033114393733
1990-07-27,166.5265478131097,212.11030770485723,140.81176914752055,-256.37726323492,-52.1900047431406,28.97238585968777,-94.06197500282207,-80.81471498179337,243.43751947262862,162.7388240149703,142.56208504233103,-34.5808112448701,48.71557787028347,-194.060139219947
1990-07-30,167.26082086928886,212.4257090041801,144.80327901857007,-253.50206878118178,-52.116834428324566,28.890218872644212,94.90354933185795,-80.00114461607815,240.72454094042422,163.15434650706715,140.79958999131148,-34.68479608043271,48.307986608720384,-194.29469658349737
1990-07-31,164.9246906820212,212.40244146683486,145.37134294573528,-254.31211879156524,-51.83575172083466,28.93822731137257,-94.73536349767774,-80.65522888479985,241.64526805588983,162.49631450459532,141.16081763636546,-34.718956064396714,48.070148713346605,-194.2562430794118
1990-08-01,167.25011420136488,212.21553992404043,145.14485069922813,-257.1206527479572,-52.10507644052282,29.13577964915736,-94.21947199353784,-80.72069349653232,236.11190686310755,159.16128453367008,137.2344659339406,-34.455253291849615,48.28411896527279,-194.6892589579002
1990-08-02,168.11527106079973,219.34590258409932,145.01232323292692,-256.06634300178246,-52.165897244004995,28.81040980459648,94.33611612992043,-79.92151399470963,236.09093048993122,158.49501265726488,136.1730668623923,33.65500280717841,48.14164684750994,193.44177850334395
1990-08-03,164.72632457746582,217.69057806923539,144.5395260499305,-254.80346799940529,-51.79905604225452,28.67284888145891,-92.20227265261285,-79.44410968711593,238.3041534709942,160.49385171461523,131.9452681988877,30.86912475047087,48.34155986059444,190.64336136249244
1990-08-06,166.022387714936,216.38685216365803,143.14681389993052,-250.7252383622674,-50.575428991521655,28.344537733874773,-92.2367477465967,-78.30332081076351,238.2889297731813,160.6592168885224,-131.87541044403474,29.747185381286535,47.749368042439265,190.9010134360583
1990-08-07,-148.71281299764192,-221.57000226737645,-139.0230269122842,-235.4591955048089,-47.35861025735193,-24.764375334840217,-88.6676073168063,-79.86890453933168,236.01447577172493,157.64168668558963,-131.8587938020254,22.814347247256652,47.748976017999226,190.24605292422214
1990-08-08,-148.46088836276883,-221.30560752264884,-139.38598047346193,-232.29377285387253,-47.36212460882819,-24.513888289289145,-88.22598182525084,-78.84638159915445,242.21745541134837,159.33843275984353,133.03608625329096,22.782240142954368,47.72182022598685,194.96588568464153
1990-08-09,-148.57882782828256,-220.95623819084682,-141.82393847874783,-221.3118866817275,-47.44210324925787,-24.13253995115613,-88.22007826145834,-77.52763528226829,241.5210132040564,159.53754199293394,132.84333824838853,20.839092774164953,47.90819758361258,195.11869913907728
1990-08-10,-146.63424945859182,-222.69533752110522,-141.5732898460555,-218.8921168078315,-47.63293749975288,-23.95902498817435,-88.48292214795424,-79.22638960694235,241.5210132040564,160.72452894986606,133.32973653448047,20.840826297762217,48.11386820413297,194.93166024747953
1990-08-13,-146.69599873520824,-223.75048364387305,-141.53572212855664,-220.33442858841101,-47.336813234178905,-23.99400624698562,-88.77163483080534,-77.30268671710114,241.5210132040565,160.43291014973335,133.8043859014624,20.867294474835123,48.11558898360901,190.69594223902783
1990-08-14,-146.7267651127475,-226.14063504037154,-142.49403713639424,-218.90655033369933,-47.17374722846075,-23.50724500033827,-89.06228200525358,-78.3032908104651,239.7392978949849,163.1145013547096,137.204631165935,20.77971313667901,48.20754479430807,214.25374997858876
1990-08-15,-146.6511528934167,-226.1877671490348,-143.46117902909708,-223.0115823514432,-47.532599075895845,-23.54492580111754,-90.2743489832064,-76.53747073188326,235.7486963914117,159.7392610427659,135.7726761870543,20.759930454384392,48.21606546525364,214.2307570277191
1990-08-16,-146.53485641038515,-226.19561958410512,-143.4210114992493,-219.85740169162176,-47.519138504588106,-23.36298708713437,-90.26141360941186,-75.4469010562608,235.7486963914117,159.81655535774237,136.21720923779552,20.805293482283336,48.73146817508363,214.02517099502376
1990-08-17,-144.76202891759382,-226.55838373388988,-143.50464220063841,-222.73039533717773,-45.6075561690797,-23.4690589709386,-90.47864012577074,-74.69410189198841,234.95671346328282,158.7716811540342,140.11742230669782,20.583100724715376,48.664270547889146,213.70297228527465
1990-08-20,-145.18342150098334,-230.45738962090684,-142.55300886162104,-226.88754219069094,-45.494522833138596,-22.601323349847917,-89.6764335737842,-75.81009141244239,234.60727391418817,158.71935578346316,141.94343101786797,20.38101767918278,49.571118965010534,213.65824680305258
1990-08-21,-145.1927174785489,-229.61858453863465,-142.51005684972583,-226.84677437561027,-45.48109219132482,-22.719771669661753,-89.66352641856317,-79.31560225148431,228.4952744368488,158.4518193439928,141.19074925386067,20.367871357439448,49.52340551117855,213.64679249675288
1990-08-22,-145.13322795544835,-231.64943835914292,-142.44039105673997,-226.7384246386221,-45.47385569332446,-21.44790121197824,-85.82531391860002,-80.7788277725772,228.4337844057468,158.43690038848055,141.2385207213072,20.371628800641577,50.2682713898108,217.45734270305792
1990-08-23,-146.09735419516005,-231.4331932276229,-142.60288539835997,-226.1367748519232,-45.03356287911994,-21.333298915246264,-86.03389362168188,-80.783685586326,227.79389234211797,156.19554778315998,141.03170430544864,19.163136267819894,51.054254836224935,216.4801765786868
1990-08-24,-145.00296678824003,-231.24664424631104,-142.5614160700197,-218.59057462284886,-42.93504744722297,-20.782463675600194,-85.79301069815243,-78.43912463647827,224.27657745612376,145.6434414979523,142.50098016321658,19.047048353643042,51.093385704775386,216.2744419028146
1990-08-27,-144.643464695729,-238.58809265172766,-143.23489210641216,-218.8154353457073,-42.256812737430316,-20.545170853139975,-86.07882014897943,-80.26252243295251,220.51510077967035,142.52796379489473,142.2282460250616,18.852256002317414,51.53223348172464,217.996616475962
1990-08-28,-141.4705595260788,-240.23980728574213,-143.73397406390848,-218.7776562960726,-40.816784452904656,-19.225675895225177,-86.10410312556215,-79.66047400039366,219.23254157614699,142.6534986936768,137.1518227679396,16.308156722394656,52.89581085579771,187.01330830463363
1990-08-29,-141.383170812408,-239.88356543883822,-143.3121863896259,-218.7554962506782,-40.81667639973667,-19.127479560732528,-85.16387958182985,-79.96363378869306,223.583873514359,143.18315373390638,137.01132150101853,16.239225239178428,53.14718576699621,180.03024328522014
1990-08-30,-139.82209662454343,-241.2798196924243,-143.33539210675843,-217.18448190292548,-40.80732673617697,-19.078332868038515,-85.13058560349081,-78.46221533452224,223.1325641298993,143.18459584481002,137.0378788902708,15.761626199538973,53.03816060827326,180.02294401739178
1990-08-31,-139.74309572786103,-241.13214222653323,-143.70638577184795,-209.53659072559813,-40.56131840429183,-19.16054841955943,-84.34119895639319,-76.64597723236587,222.71814838770638,138.4938834123233,136.7936360770918,15.689139292608925,53.185539010987696,178.2429564408854
1990-09-03,-139.74035264945076,-240.96805105195548,-142.70434670596686,-209.79932527748176,-40.35334580696876,-19.147706029891427,-84.2903303817103,-76.64377995296502,219.96923949561676,133.70982065314652,136.6008409683321,15.646979012106993,53.18251943442403,177.0350680551405
1990-09-04,-139.8434829394485,-238.93465003126855,-142.1797283262842,-210.0975358773291,-40.3828470281247,-19.147680924585387,-84.19662482503585,-77.8021772452435,220.49901755368566,134.39247980299334,137.71929702727542,15.650220936824851,53.18310039270165,177.08046289519032
1990-09-05,-140.46463549942635,-240.39990446967113,-142.306243072139,-209.72123615902092,-40.34300787237312,-18.939572505404538,-84.30268820616145,-77.24717959341338,220.49097726023635,133.9314513330322,137.70160528961108,15.328132718363522,53.004969407224365,177.06681406644395
1990-09-06,-141.77801486871132,-241.2414302669858,-142.27734881558845,-209.69951221520125,-40.622623027067995,-18.933627397791984,-84.40034057562156,-77.10188724802043,214.35335907700892,129.70091357303403,135.7761225225696,15.294130302448249,52.81178204390316,176.87188588423277
1990-09-07,-141.73664845238446,-241.83348111636772,-142.32658241454408,-208.8387865657308,-40.531594781178434,-18.943348176740805,-83.22489623650951,-77.4767799934167,215.33514384103572,129.70785943237652,136.70420986269673,15.042555164540795,52.696346774205665,176.75962322274626
1990-09-10,-142.4836328806258,-241.72363875210297,-141.53707531717487,-208.7914888111782,-40.564613756855266,-18.94352261964869,-83.15442778862449,-77.39580117146706,213.46143969028702,128.0263701769904,136.32963170470202,14.829278018340373,50.23718267829364,176.7940459541537
1990-09-11,-142.36706045269807,-242.7442466822064,-141.3399217515906,-208.84101612487117,-40.68854605028906,-19.056901549761157,-82.8976850487467,-76.51191662884825,212.66836070763802,119.82017562876621,136.16161404212212,14.606868617632369,49.98397369546638,170.7763730342034
1990-09-12,-142.4347533276995,-242.7830498855029,-140.92320906274313,-207.59852417866216,-40.68954790449803,-18.991089558903553,-82.89759464839014,-76.17370750377665,212.49470852887123,119.71376402253036,136.66232504530865,14.573990768535973,50.58142668758703,170.54073051320447
1990-09-13,-142.43477734338217,-242.67814391842768,-143.87698540485533,-206.2659858527713,-40.74111763561376,-18.955099990286243,-83.4465532398206,-75.62222697036687,216.52858268543562,119.67883047042771,131.97420701087654,14.584392498364918,51.62220686819685,172.706639947883
1990-09-14,-142.93463527503354,-242.7250968647413,-143.97530504776998,-206.26949833813947,-40.511698297565864,-18.959755280984663,-83.09068291952273,-75.58882118354309,207.95718335437562,117.14199798338767,129.37135740122608,14.590170027555986,51.38755368949349,172.47858254507852
1990-09-17,-142.5131739680717,-242.0672983240851,-143.73313670809787,-206.6121685000458,-40.99049823417673,-18.84805135017875,-81.74836938603187,-75.3495722275165,208.07863773100416,116.09193177564508,129.04336313300755,14.547378802020607,51.279080200862495,172.04880817209096
1990-09-18,-142.33753507234925,-242.05618001519497,-143.79199683790975,-204.3743470314865,-41.11734057280417,-18.846473298981888,-81.67419085134618,-74.81705403705922,201.98538808523247,114.99594944076044,129.03051329308764,14.29888040263298,51.81365640325198,172.6861650760515
1990-09-19,-142.4433525396754,-242.03268579359278,-143.98863545450675,-204.73087365785491,-41.13749870353844,-18.695802780436257,-81.1386793397303,-74.80682746870053,201.2155136106225,115.03765542494979,127.20249884951915,14.308551369636298,52.13010684378113,173.02719347998485
1990-09-20,-142.42887256364952,-243.113292519403,-143.97376272078841,-204.57434469439914,-41.165673550033496,-18.76310113128903,-81.19645747598165,-75.11974614373295,197.10762802058522,111.92708746172764,126.99167471429534,14.303443100830737,50.97336077704271,172.62169261334157
1990-09-21,-142.4131415146264,-244.89714317064428,-144.52233799365703,-204.54215442167188,-40.88153229307343,-18.83859371680603,-78.5320615850337,-75.10302398033282,197.16494477689753,111.7369289446625,126.89346206108783,14.352560943965166,-50.64306788729252,172.63991111679366
1990-09-24,-149.00129227194952,-280.6785170055473,-152.79608358949656,-204.32023795090137,-41.00199133028948,-18.951456429885983,-78.62548689506781,-75.10044039101471,200.21175132107248,110.05534262149578,125.89157634969702,13.89950018792247,50.44028407584514,172.3160252222366
1990-09-25,-148.78753797921493,-278.0506073441646,-152.63230870206888,-206.09702072508296,-40.34514894794322,-18.891141245250008,-77.26587875053681,-75.90293816015104,194.94611134708433,104.66398012953985,125.41608198774409,13.362973945273103,50.462103412262174,167.4701698410087
1990-09-26,-148.89787525758007,-280.3226922872128,-152.73375908562144,-205.51029432858138,-40.20907813044552,-18.55328275881627,-77.43966374599637,-75.63114988092944,191.80261802529006,104.03879141103407,125.25235947953995,13.326128917046143,50.86310278842075,167.13324768356048
1990-09-27,-150.39806260444567,-281.6562318989009,-151.9089421872763,-205.14375469383464,-40.08582963773109,-18.454011972441535,-77.66420538991149,-74.50144164073039,195.6624483674818,104.22981627925331,125.77801750925401,13.263183690680494,52.54556019455616,166.48553876410705
